N	53.3464	-6.29461	D204	15 Mar 2026	D204\nDublin Heuston to Portlaoise\nExpected Departure 16:50	To Portlaoise
N	53.3531	-6.24591	D916	15 Mar 2026	D916\nDublin Connolly to Maynooth\nExpected Departure 16:47	Northbound
R	53.3776	-6.39072	D915	15 Mar 2026	D915\n16:17 - Dublin Connolly to Maynooth (0 mins late)\nArrived Coolmine next stop Clonsilla	Northbound
R	53.4855	-6.15134	D814	15 Mar 2026	D814\n16:10 - Dublin Connolly to Drogheda (-2 mins late)\nArrived Donabate next stop Rush and Lusk	Northbound
